"structure_taxonomy_npclassifier_01pathway" "structure_taxonomy_npclassifier_02superclass" "structure_taxonomy_npclassifier_03class"
"393" "Shikimates and Phenylpropanoids" "Coumarins" NA
"394" "Shikimates and Phenylpropanoids" "Lignans" "Flavonolignans"
"395" "Amino acids and Peptides" "Oligopeptides" "RiPPs-Thiopeptides"
"396" "Terpenoids" "Diterpenoids" "Platensimycin and Platencins"
"397" "Amino acids and Peptides" "Oligopeptides" NA
"398" "Alkaloids" "Tryptophan alkaloids" "Simple oxindole alkaloids"
"399" "Alkaloids" "Anthranilic acid alkaloids" "Phenoxazine alkaloids"
"400" "Shikimates and Phenylpropanoids" "Isoflavonoids" "Coumaronochromones"
"401" "Terpenoids" "Sesquiterpenoids" "Coloratane sesquiterpenoids"
"402" "Terpenoids" "Triterpenoids" "Apotirucallane triterpenoids"
"403" "Shikimates and Phenylpropanoids" "Styrylpyrones" "Kavalactones and derivatives"
"404" "Terpenoids" "Sesquiterpenoids" "Brasilane sesquiterpenoids"
"405" "Polyketides" "Macrolides" "Avermectins"
"406" "Fatty acids" "Fatty acyls" "Resin glycosides"
"407" "Polyketides" "Cyclic polyketides" "Simple cyclic polyketides"
"408" "Terpenoids" "Diterpenoids" "Secolabdane diterpenoids"
"409" "Polyketides" "Naphthalenes" "Naphthalenones"
"410" "Polyketides" "Cyclic polyketides" NA
"411" "Shikimates and Phenylpropanoids" "Stilbenoids" NA
"412" "Shikimates and Phenylpropanoids" "Lignans" "Dibenzocyclooctadienes lignans"
"413" "Terpenoids" "Diterpenoids" "Lathyrane diterpenoids"
"414" "Polyketides" "Naphthalenes" NA
"415" "Shikimates and Phenylpropanoids" "Diarylheptanoids" "Diarylether type diarylheptanoids"
"416" "Terpenoids" "Triterpenoids" "Serratane triterpenoids"
"417" "Amino acids and Peptides" "Cyclic polyketides" "3-Decalinoyltetramic acids"
"418" "Fatty acids" "Glycerophospholipids" "Glycerophosphoglycerophosphoglycerols"
"419" "Alkaloids" "Tyrosine alkaloids" "Protopine alkaloids"
"420" "Terpenoids" "Sesquiterpenoids" "Cyclofarnesane sesquiterpenoids"
"421" "Polyketides" "Phloroglucinols" "Prenylated,geranylated phloroglucinols"
"422" "Polyketides" "Phloroglucinols" NA
"423" "Terpenoids" "Diterpenoids" "Atisane diterpenoids"
"424" "Terpenoids" "Sesquiterpenoids" "Panasinsane sesquiterpenoids"
"425" "Terpenoids" "Diterpenoids" "Erythroxylane diterpenoids"
"426" "Terpenoids" "Diterpenoids" "Icetexane diterpenoids"
"427" "Terpenoids" "Sesquiterpenoids" "Campherenane sesquiterpenoids"
"428" "Terpenoids" "Sesquiterpenoids" "Allohimachalane sesquiterpenoids"
"429" "Terpenoids" "Sesquiterpenoids" "Longibornane sesquiterpenoids"
"430" "Terpenoids" "Sesquiterpenoids" "Illudalane sesquiterpenoids"
"431" "Terpenoids" "Diterpenoids" "Secokaurane diterpenoids"
"432" "Terpenoids" "Sesquiterpenoids" "Secoeudesmane sesquiterpenoids"
"433" "Polyketides" "Aromatic polyketides" "Aromatic polyketides with side chains"
"434" "Terpenoids" "Carotenoids (C40)" "Carotenoids (C40, β-κ)"
"435" "Terpenoids" "Sesquiterpenoids" "Perforane sesquiterpenoids"
"436" "Alkaloids" "Guanidine alkaloids" "Bicyclic guanidine alkaloids"
"437" "Alkaloids" "Guanidine alkaloids" "Pentacyclic guanidine alkaloids"
"438" "Shikimates and Phenylpropanoids" "Flavonoids" "Neoflavonoids"
"439" "Terpenoids" "Triterpenoids" NA
"440" "Terpenoids" "Triterpenoids" "Pachysanane triterpenoids"
"441" "Shikimates and Phenylpropanoids" "Diarylheptanoids" "Biaryl type diarylheptanoids"
"442" "Terpenoids" "Diterpenoids" "Cleistanthane diterpenoids"
"443" "Terpenoids" "Diterpenoids" "Abeoabietane diterpenoids"
"444" "Shikimates and Phenylpropanoids" "Diarylheptanoids" NA
"445" "Shikimates and Phenylpropanoids" "Terphenyls" NA
"446" "Alkaloids" "Peptide alkaloids" NA
"447" "Terpenoids" "Sesquiterpenoids" "Cyclobisabolane sesquiterpenoids"
"448" "Polyketides" "Naphthalenes" "Bisnaphthalenes"
"449" "Alkaloids" "Tyrosine alkaloids" "Homoerythrina alkaloids"
"450" "Polyketides" "Cyclic polyketides" "Nonadrides"
"451" "Polyketides" "Macrolides" "Macrolide lactones"
"452" "Terpenoids" "Diterpenoids" "Tetracyclic diterpenoids"
"453" "Alkaloids" "Guanidine alkaloids" "Tetrodotoxins"
"454" "Terpenoids" "Sesterterpenoids" "Linear sesterterpenoids"
"455" "Terpenoids" "Diterpenoids" "Serrulatane and Biflorane diterpenoids"
"456" "Terpenoids" "Sesterterpenoids" "Cheilanthane sesterterpenoids"
"457" "Terpenoids" "Sesquiterpenoids" "Capnellane sesquiterpenoids"
"458" "Terpenoids" "Sesquiterpenoids" "Pinguisane sesquiterpenoids"
"459" "Terpenoids" "Sesterterpenoids" "Monocarbocyclic sesterterpenoids"
"460" "Terpenoids" "Triterpenoids" "Baccharane triterpenoids"
"461" "Terpenoids" "Sesquiterpenoids" "Pacifigorgiane sesquiterpenoids"
"462" "Terpenoids" "Sesquiterpenoids" "Silphiperfolane sesquiterpenoids"
"463" "Terpenoids" "Sesquiterpenoids" "Gorgonane sesquiterpenoids"
"464" "Terpenoids" "Diterpenoids" "Totarane diterpenoids"
"465" "Terpenoids" "Diterpenoids" "Trachylobane diterpenoids"
"466" "Polyketides" "Aromatic polyketides" "Strobilurins and derivatives"
"467" "Terpenoids" "Sesquiterpenoids" "Ivaxillarane sesquiterpenoids"
"468" "Terpenoids" "Sesquiterpenoids" "Ishwarane sesquiterpenoids"
"469" "Fatty acids" "Octadecanoids" "12-oxophytodienoic acid metabolites"
"470" "Terpenoids" "Sesquiterpenoids" "Pentalenane sesquiterpenoids"
"471" "Terpenoids" "Sesquiterpenoids" "Copacamphane sesquiterpenoids"
"472" "Terpenoids" "Sesquiterpenoids" "Thapsane sesquiterpenoids"
"473" "Alkaloids" "Peptide alkaloids" "Indole diketopiperazine alkaloids (L-Trp, L-Ala)"
"474" "Terpenoids" "Sesquiterpenoids" "Noreudesmane sesquiterpenoids"
"475" "Polyketides" "Chromanes" "Azaphilones"
"476" "Terpenoids" "Sesquiterpenoids" "Africanane sesquiterpenoids"
"477" "Terpenoids" "Triterpenoids" "Abeolupane triterpenoids"
"478" "Terpenoids" "Sesquiterpenoids" "Oppositane sesquiterpenoids"
"479" "Terpenoids" "Sesquiterpenoids" "Humbertiane sesquiterpenoids"
"480" "Terpenoids" "Sesquiterpenoids" "Protoilludane sesquiterpenoids"
"481" "Terpenoids" "Sesquiterpenoids" "Sterpurane sesquiterpenoids"
"482" "Alkaloids" "Tryptophan alkaloids" "Indole-Diterpenoid alkaloids (Penitrems)"
"483" "Polyketides" "Meroterpenoids" "Tetraketide meroterpenoids"
"484" "Terpenoids" "Sesquiterpenoids" "Presilphiperfolane and Probotryane sesquiterpenoids"
"485" "Terpenoids" "Meroterpenoids" "Merosesquiterpenoids"
"486" "Terpenoids" "Diterpenoids" "Trinervitane diterpenoids"
"487" "Terpenoids" "Sesquiterpenoids" "Lippifoliane sesquiterpenoids"
"488" "Terpenoids" "Diterpenoids" "Xeniaphyllane diterpenoids"
"489" "Shikimates and Phenylpropanoids" "Diazotetronic acids and derivatives" "Pulvinones"
"490" "Polyketides" "Miscellaneous polyketides" NA
"491" "Polyketides" "Cyclic polyketides" "Decalins with 2-pyrones"
"492" "Amino acids and Peptides" "Oligopeptides" "Peptaibols"
"493" "Terpenoids" "Sesquiterpenoids" "Cyclonerane sesquiterpenoids"
"494" "Amino acids and Peptides" "Oligopeptides" "Vancomycins and Teicoplanins"
"495" "Polyketides" "Macrolides" "Polyene macrolides"
"496" "Alkaloids" "Histidine alkaloids" NA
"497" "Alkaloids" "Pseudoalkaloids" "Isoindole alkaloids"
"498" "Alkaloids" "Pseudoalkaloids" "Azo and Azoxy alkaloids"
"499" "Fatty acids" "Fatty acyls" "Fatty ethers"
"500" "Fatty acids" "Eicosanoids" "Hydroxy-hydroperoxyeicosatrienoic acids"
"501" "Alkaloids" "Tyrosine alkaloids" "Hasubanan alkaloids"
"502" "Alkaloids" "Tryptophan alkaloids" "Hapalindole alkaloids"
"503" "Amino acids and Peptides" "Mycosporine derivatives" "Mycosporine and Mycosporine-like amino acids"
"504" "Terpenoids" "Carotenoids (C40)" "Carotenoids (C40, π-π)"
"505" "Terpenoids" "Sesquiterpenoids" "Zizaane sesquiterpenoids"
"506" "Amino acids and Peptides" "Linear polyketides" "Elfamycins"
"507" "Terpenoids" "Carotenoids (C40)" "Carotenoids (C40, Ψ-Ψ)"
"508" "Terpenoids" "Diterpenoids" "Rhamnofolane diterpenoids"
"509" "Fatty acids" "Fatty esters" NA
"510" "Shikimates and Phenylpropanoids" "Stilbenoids" "Flavonostilbenes"
"511" "Terpenoids" "Diterpenoids" "Briarane diterpenoids"
"512" "Terpenoids" "Diterpenoids" "Abeotaxane diterpenoids"
"513" "Terpenoids" "Sesquiterpenoids" "Herbertane sesquiterpenoids"
"514" "Terpenoids" "Diterpenoids" "Dolastane diterpenoids"
"515" "Polyketides" "Cyclic polyketides" "Fungal cyclic polyketides (Miscellaneous)"
"516" "Alkaloids" "Pseudoalkaloids" "Cytochalasan alkaloids"
"517" "Polyketides" "Cyclic polyketides" "Decalins with side chains"
"518" "Polyketides" "Meroterpenoids" "Other polyketide meroterpenoids"
"519" "Terpenoids" "Diterpenoids" "Jatrophane diterpenoids"
"520" "Terpenoids" "Diterpenoids" "Paraliane diterpenoids"
"521" "Terpenoids" "Diterpenoids" "Tigliane diterpenoids"
"522" "Terpenoids" "Diterpenoids" "Cycloabietane diterpenoids"
"523" "Terpenoids" "Diterpenoids" "Pachydictyane diterpenoids"
"524" "Terpenoids" "Diterpenoids" "Furanoabietane diterpenoids"
"525" "Terpenoids" "Diterpenoids" "Ingenane diterpenoids"
"526" "Terpenoids" "Triterpenoids" "Gammacerane triterpenoids"
"527" "Terpenoids" "Diterpenoids" "Sacculatane diterpenoids"
"528" "Terpenoids" "Triterpenoids" "Neohopane triterpenoids"
"529" "Terpenoids" "Sesquiterpenoids" "Bicyclohumulane sesquiterpenoids"
"530" "Shikimates and Phenylpropanoids" "Phenanthrenoids" NA
"531" "Terpenoids" "Diterpenoids" "Sphenolobane diterpenoids"
"532" "Terpenoids" "Diterpenoids" "Segetane diterpenoids"
"533" "Alkaloids" "Tyrosine alkaloids" "Pimprinine alkaloids"
"534" "Alkaloids" "Peptide alkaloids" "Simple diketopiperazine alkaloids"
"535" "Alkaloids" "Tyrosine alkaloids" "Morphinan alkaloids"
"536" "Shikimates and Phenylpropanoids" "Terphenyls" "m-Terphenyls"
"537" "Terpenoids" "Steroids" NA
"538" "Polyketides" "Xanthones" NA
"539" "Terpenoids" "Diterpenoids" "Verticillane diterpenoids"
"540" "Terpenoids" "Diterpenoids" "Pseudopterane diterpenoids"
"541" "Terpenoids" "Sesquiterpenoids" "Secochamigrane sesquiterpenoids"
"542" "Polyketides" "Polycyclic aromatic polyketides" NA
"543" "Terpenoids" "Carotenoids (C40)" "Carotenoids (C40, ε-ε)"
"544" "Terpenoids" "Sesquiterpenoids" "Illudane sesquiterpenoids"
"545" "Terpenoids" "Diterpenoids" "Amphilectane diterpenoids"
"546" "Polyketides" "Polycyclic aromatic polyketides" "Phenalens"
"547" "Terpenoids" "Sesquiterpenoids" "Nardosinane sesquiterpenoids"
"548" "Amino acids and Peptides" "β-lactams" "Clavams"
"549" "Alkaloids" "Proline alkaloids" "Prodigiosins"
"550" "Terpenoids" "Sesterterpenoids" "Norsesterterpenoids"
"551" "Terpenoids" "Sesquiterpenoids" "Homofarnesane sesquiterpenoids"
"552" "Terpenoids" "Sesquiterpenoids" "Secogermacrane sesquiterpenoids"
"553" "Terpenoids" "Meroterpenoids" "Meroterpenoids with 5- or 6-membered ring"
"554" "Terpenoids" "Triterpenoids" "Shionane triterpenoids"
"555" "Terpenoids" "Triterpenoids" "Malabaricane triterpenoids"
"556" "Terpenoids" "Triterpenoids" "Polypodane triterpenoids"
"557" "Terpenoids" "Carotenoids (C40)" "Carotenoids (C40, ε-Ψ)"
"558" "Polyketides" "Diphenyl ethers (DPEs)" "Fungal DPEs"
"559" "Polyketides" "Aromatic polyketides" "Sorbicilinoids"
"560" "Terpenoids" "Diterpenoids" "Xenicane diterpenoids"
"561" "Fatty acids" "Fatty acyls" "Paraconic acids and derivatives"
"562" "Terpenoids" "Diterpenoids" "Devadarane diterpenoids"
"563" "Polyketides" "Macrolides" "Enediynes"
"564" "Polyketides" "Polycyclic aromatic polyketides" "Ericamycins"
"565" "Terpenoids" "Diterpenoids" "Aphidicolane diterpenoids"
"566" "Fatty acids" "Fatty Acids and Conjugates" "Mycolic acids"
"567" "Terpenoids" "Meroterpenoids" "Meroterpenoids with bridged ring"
"568" "Terpenoids" "Triterpenoids" "Saponaceolide triterpenoids"
"569" "Alkaloids" "Ornithine alkaloids" "Stemona alkaloids"
"570" "Amino acids and Peptides" "Oligopeptides" "Linear peptides"
"571" "Shikimates and Phenylpropanoids" "Fluorenes" "Selaginellins"
"572" "Carbohydrates" "Aminosugars and aminoglycosides" "Aminoglycosides"
"573" "Alkaloids" "Peptide alkaloids" "Thiodiketopiperazine alkaloids"
"574" "Alkaloids" "Pseudoalkaloids" "Isariotin alkaloids"
"575" "Terpenoids" "Carotenoids (C40)" "Carotenoids (C40, π-Χ)"
"576" "Terpenoids" "Carotenoids (C40)" "Carotenoids (C40, κ-Χ)"
"577" "Shikimates and Phenylpropanoids" "Flavonoids" "Open-chained neoflavonoids"
"578" "Terpenoids" "Diterpenoids" "Casbane diterpenoids"
"579" "Terpenoids" "Carotenoids (C50)" "Carotenoids (C50, Ψ-Ψ)"
"580" "Alkaloids" "Tyrosine alkaloids" "Oxazole alkaloids"
"581" "Terpenoids" "Sesquiterpenoids" "Spiroaxane sesquiterpenoids"
"582" "Fatty acids" "Eicosanoids" "Clavulones"
"583" "Fatty acids" "Glycerophospholipids" "Glycosylglycerophospholipids"
"584" "Fatty acids" "Fatty acyl glycosides" "Rhamnolipids"
"585" "Terpenoids" "Sesquiterpenoids" "Dunniane sesquiterpenoids"
"586" "Fatty acids" "Fatty Acids and Conjugates" "Heterocyclic fatty acids"
"587" "Polyketides" "Chromanes" "Cytosporins"
"588" "Terpenoids" "Diterpenoids" "Premyrsinane diterpenoids"
"589" "Terpenoids" "Sesterterpenoids" NA
"590" "Polyketides" "Meroterpenoids" "Triketide meroterpenoids"
"591" "Amino acids and Peptides" "Oligopeptides" "Ahp-containing cyclodepsipeptides"
"592" "Polyketides" "Polycyclic aromatic polyketides" "Fasamycins and derivatives"
"593" "Shikimates and Phenylpropanoids" "Flavonoids" "Isoaurones"
"594" "Terpenoids" "Triterpenoids" "Cycloapotirucallane triterpenoids"
"595" "Amino acids and Peptides" "Oligopeptides" "Lipopeptides"
"596" "Polyketides" "Macrolides" "Bafilomycins"
"597" "Terpenoids" "Apocarotenoids" NA
"598" "Terpenoids" "Diterpenoids" "Jatropholane diterpenoids"
"599" "Terpenoids" "Polyethers" "Oxasqualenoids"
"600" "Fatty acids" "Fatty acyl glycosides" "Ascarosides"
"601" "Alkaloids" "Miscellaneous alkaloids" "Miscellaneous alkaloids"
"602" "Amino acids and Peptides" "Macrolides" "Antimycins"
"603" "Terpenoids" "Diterpenoids" "Eunicellane diterpenoids"
"604" "Amino acids and Peptides" "Oligopeptides" "RiPPs-Cyanobactins"
"605" "Polyketides" "Phloroglucinols" "Phloroglucinol-terpene hybrids"
"606" "Terpenoids" "Sesquiterpenoids" "Sinularane sesquiterpenoids"
"607" "Terpenoids" "Apocarotenoids" "Apocarotenoids (C30, Ψ-Ψ)"
"608" "Terpenoids" "Sesquiterpenoids" "Asteriscane sesquiterpenoids"
"609" "Amino acids and Peptides" "Oligopeptides" "RiPPs-Lanthipeptides"
"610" "Polyketides" "Polycyclic aromatic polyketides" "Duclauxin and derivatives"
"611" "Terpenoids" "Sesquiterpenoids" "Quadrane sesquiterpenoids"
"612" "Polyketides" "Polyethers" NA
"613" "Terpenoids" "Carotenoids (C40)" "Carotenoids (C40, β-π)"
"614" "Polyketides" "Naphthalenes" "Spirodioxynaphthalenes"
"615" "Terpenoids" "Diterpenoids" "Sphaerane diterpenoids"
"616" "Terpenoids" "Carotenoids (C40)" "Carotenoids (C40, Χ-Χ)"
"617" "Alkaloids" "Peptide alkaloids" "Indole diketopiperazine alkaloids (L-Trp, L-Trp)"
"618" "Amino acids and Peptides" "Oligopeptides" "Cryptophycins"
"619" "Polyketides" "Macrolides" "Spirotetronate macrolides"
"620" "Terpenoids" "Diterpenoids" "Breviane diterpenoids"
"621" "Amino acids and Peptides" "Linear polyketides" "3-acyl tetramic acids"
"622" "Amino acids and Peptides" "Cyclic polyketides" "3-Spirotetramic acids"
"623" "Polyketides" "Cyclic polyketides" "Oblogolides"
"624" "Amino acids and Peptides" "Oligopeptides" "RiPPs-Microcins"
"625" "Terpenoids" "Sesquiterpenoids" "Isolactarane sesquiterpenoids"
"626" "Polyketides" "Polyethers" "Macrotetrolides"
"627" "Terpenoids" "Diterpenoids" "Cyathane diterpenoids"
"628" "Polyketides" "Alkylresorcinols" "Dialkylresorcinols"
"629" "Terpenoids" "Polyprenols" "Polyprenol derivatives"
"630" "Terpenoids" "Sesquiterpenoids" "Marasmane sesquiterpenoids"
"631" "Terpenoids" "Sesquiterpenoids" "Lactarane sesquiterpenoids"
"632" "Amino acids and Peptides" "Oligopeptides" "Actinomycins"
"633" "Terpenoids" "Meroterpenoids" "Spriromeroterpenoids"
"634" "Alkaloids" "Tetramate alkaloids" "Pyrrocidine tetramate alkaloids"
"635" "Terpenoids" "Sesterterpenoids" "Mangicol-type sesterterpenoids"
"636" "Amino acids and Peptides" "γ-lactam-β-lactones" "Salinosporamides"
"637" "Polyketides" "Alkylresorcinols" "Monoalkylresorcinols"
"638" "Shikimates and Phenylpropanoids" "Tropolones" "Tropolones and derivatives (Shikimate)"
"639" "Terpenoids" "Triterpenoids" "Filicane triterpenoids"
"640" "Fatty acids" "Fatty Acids and Conjugates" "Hydroperoxy fatty acids"
"641" "Terpenoids" "Diterpenoids" "Sphaeroane diterpenoids"
"642" "Terpenoids" "Sesquiterpenoids" "Noreremophilane sesquiterpenoids"
"643" "Terpenoids" "Sesquiterpenoids" "Hirsutane sesquiterpenoids"
"644" "Polyketides" "Tropolones" "Tropolones and derivatives (PKS)"
"645" "Terpenoids" "Carotenoids (C40)" "Carotenoids (C40, β-γ)"
"646" "Amino acids and Peptides" "Linear polyketides" "DKXanthenes and derivatives"
"647" "Alkaloids" "Tetramate alkaloids" "Cyclopiazonic acid-tpye tetramate alkaloids"
"648" "Terpenoids" "Sesterterpenoids" "Cericerane sesterterpenoids"
"649" "Terpenoids" "Diterpenoids" "Parguerane diterpenoids"
"650" "Fatty acids" "Fatty acyls" NA
"651" "Terpenoids" "Sesquiterpenoids" "Tremulane sesquiterpenoids"
"652" "Amino acids and Peptides" "Oligopeptides" "Anabaenopeptins"
"653" "Amino acids and Peptides" "Macrolides" "Macrocyclic tetramic acids"
"654" "Carbohydrates" "Saccharides" "Orthosomycins"
"655" "Amino acids and Peptides" "Macrolides" "Macrolide lactams"
"656" "Alkaloids" "Tetramate alkaloids" "Simple tetramate alkaloids"
"657" "Fatty acids" "Glycerophospholipids" "Long-Chain Bicyclic Phosphotriester"
"658" "Amino acids and Peptides" "Oligopeptides" "Aeruginosins"
"659" "Terpenoids" "Sesterterpenoids" "Asperane sesterterpenoids"
"660" "Polyketides" "Aromatic polyketides" "Luminacins and derivatives"
"661" "Terpenoids" "Diterpenoids" "Cyclopiane diterpenoids"
"662" "Polyketides" "Polycyclic aromatic polyketides" "Pradimicins"
"663" "Polyketides" "Diphenyl ethers (DPEs)" NA
"664" "Terpenoids" "Sesquiterpenoids" "Hamigerane sesquiterpenoids"
"665" "Polyketides" "Macrolides" "Boromycins"
"666" "Terpenoids" "Diterpenoids" "Verrucosane diterpenoids"
"667" "Terpenoids" "Sesquiterpenoids" "Alliacane sesquiterpenoids"
"668" "Terpenoids" "Diterpenoids" "Guanacastane diterpenoids"
"669" "Carbohydrates" "Saccharides" "Paulomycins and derivatives"
"670" "Terpenoids" "Sesquiterpenoids" "Cyclolaurane sesquiterpenoids"
"671" "Terpenoids" "Diterpenoids" "Mulinane diterpenoids"
"672" "Alkaloids" "Guanidine alkaloids" "Tricyclic guanidine alkaloids"
"673" "Fatty acids" "Fatty acyl glycosides" NA
"674" "Shikimates and Phenylpropanoids" "Phenolic acids (C6-C1)" "Bagremycins"
"675" "Polyketides" "Macrolides" "Oxa-Bridged Macrolides"
"676" "Terpenoids" "Carotenoids (C50)" "Carotenoids (C50, ε-ε)"
"677" "Terpenoids" "Carotenoids (C50)" "Carotenoids (C50, β-Ψ)"
"678" "Polyketides" "Macrolides" "Bryostatins"
"679" "Amino acids and Peptides" "Macrolides" "Lactam bearing macrolide lactones"
"680" "Terpenoids" "Diterpenoids" "Asbestinane diterpenoids"
"681" "Terpenoids" "Diterpenoids" "Norcembrane diterpenoids"
"682" "Polyketides" "Linear polyketides" "Polyesters"
"683" "Fatty acids" "Glycerolipids" NA
"684" "Terpenoids" "Polyprenols" NA
"685" "Terpenoids" "Diterpenoids" "Pepluane diterpenoids"
"686" "Terpenoids" "Sesquiterpenoids" "Chiloscyphane sesquiterpenoids"
"687" "Terpenoids" "Carotenoids (C40)" "Carotenoids (C40, γ-Ψ)"
"688" "Terpenoids" "Polyprenols" "Dolichols"
"689" "Fatty acids" "Octadecanoids" NA
"690" "Amino acids and Peptides" "Macrolides" "Rhizoxins"
"691" "Fatty acids" "Eicosanoids" NA
"692" "Fatty acids" "Docosanoids" NA
"693" "Terpenoids" "Diterpenoids" "Obtusane diterpenoids"
"694" "Fatty acids" "Sphingolipids" NA
"695" "Terpenoids" "Diterpenoids" "Villanovane diterpenoids"
"696" "Terpenoids" "Diterpenoids" "Valparane diterpenoids"
"697" "Terpenoids" "Diterpenoids" "Prenylbisabolane diterpenoids"
"698" "Amino acids and Peptides" "Oligopeptides" "Bleomycins"
"699" "Polyketides" "Linear polyketides" "Linear tetronates"
"700" "Fatty acids" "Fatty esters" "Cyano esters"
"701" "Terpenoids" "Carotenoids (C40)" "Carotenoids (C40, β-Χ)"
"702" "Polyketides" "Linear polyketides" "Phoslactomycins or Phosphazomycins"
"703" "Fatty acids" "Glycerophospholipids" "Glycerophosphoinositolglycans"
"704" "Terpenoids" "Carotenoids (C45)" "Carotenoids (C45, Ψ-Ψ)"
"705" "Shikimates and Phenylpropanoids" "Fluorenes" NA
"706" "Terpenoids" "Carotenoids (C40)" "Carotenoids (C40, Χ-Ψ)"
"707" "Terpenoids" "Carotenoids (C40)" "Carotenoids (C40, π-Ψ)"
"708" "Terpenoids" "Carotenoids (C40)" "Carotenoids (C40, γ-ε)"
"709" "Amino acids and Peptides" "Oligopeptides" "RiPPs-Bottromycins"
"710" "Carbohydrates" "Polyols" NA
"711" "Terpenoids" "Diterpenoids" "Prenyleudesmane diterpenoids"
"712" "Fatty acids" "Docosanoids" "Neuroprostanes"
"713" "Shikimates and Phenylpropanoids" "Styrylpyrones" NA
"714" "Fatty acids" "Octadecanoids" "Phytofurans"
"715" "Fatty acids" "Eicosanoids" "Isofurans"
"716" "Fatty acids" "Glycerophospholipids" "Glycerophosphoglycerophosphates"
"717" "Terpenoids" "Carotenoids (C45)" "Carotenoids (C45, ε-Ψ)"
"718" "Fatty acids" "Fatty amides" "Primary amides"
"719" "Terpenoids" "Triterpenoids" "Stictane triterpenoids"
"720" "Terpenoids" "Diterpenoids" "Eremane diterpenoids"
"721" "Shikimates and Phenylpropanoids" "Diazotetronic acids and derivatives" NA
"722" "Carbohydrates" "Nucleosides" "Streptothricins and derivatives"
"723" "Alkaloids" "Tetramate alkaloids" NA
"724" "Fatty acids" "Sphingolipids" "Phosphosphingolipids"
"725" "Polyketides" "Polycyclic aromatic polyketides" "Benastatins and derivatives"
"726" "Fatty acids" "Fatty acyl glycosides" "Sophorolipids"
"727" "Terpenoids" "Diterpenoids" "Viscidane diterpenoids"
"728" "Terpenoids" "Carotenoids (C50)" "Carotenoids (C50, γ-γ)"
"729" "Terpenoids" "Carotenoids (C50)" "Carotenoids (C50, β-β)"
"730" "Terpenoids" "Diterpenoids" "Cycloamphilectane diterpenoids"
"731" "Terpenoids" "Diterpenoids" "Gersemiane diterpenoids"
"732" "Terpenoids" "Carotenoids (C45)" "Carotenoids (C45, β-Ψ)"
